slug,t0_ms,end_ms,token_up,token_down
btc-updown-5m-1783220700,1783220700000,1783221000000,445818372433,941670506753
btc-updown-5m-1783221000,1783221000000,1783221300000,211737145728,452476775571
btc-updown-5m-1783221300,1783221300000,1783221600000,724099397722,263980125473
btc-updown-5m-1783221600,1783221600000,1783221900000,727412708233,676026737986
btc-updown-5m-1783221900,1783221900000,1783222200000,959086300776,700769291802
btc-updown-5m-1783222200,1783222200000,1783222500000,572630661394,977682187139
btc-updown-5m-1783222500,1783222500000,1783222800000,108093017712,997468082887
btc-updown-5m-1783222800,1783222800000,1783223100000,476133318222,516310149742
btc-updown-5m-1783223100,1783223100000,1783223400000,677384407788,210281359419
btc-updown-5m-1783223400,1783223400000,1783223700000,222079454017,975315032387
btc-updown-5m-1783223700,1783223700000,1783224000000,104225157214,495528676596
btc-updown-5m-1783224000,1783224000000,1783224300000,252388061994,102081521545
btc-updown-5m-1783224300,1783224300000,1783224600000,163280642935,178396842277
btc-updown-5m-1783224600,1783224600000,1783224900000,111036133619,597018474163
btc-updown-5m-1783224900,1783224900000,1783225200000,308928158188,178951038264
btc-updown-5m-1783225200,1783225200000,1783225500000,101548878125,410660205967
btc-updown-5m-1783225500,1783225500000,1783225800000,490796382395,361462332726
btc-updown-5m-1783225800,1783225800000,1783226100000,426317682776,743723918221
btc-updown-5m-1783226100,1783226100000,1783226400000,781436750433,623755539269
btc-updown-5m-1783226400,1783226400000,1783226700000,500278616340,343436056126
btc-updown-5m-1783226700,1783226700000,1783227000000,159890370129,520267333902
btc-updown-5m-1783227000,1783227000000,1783227300000,298870282687,474923543968
btc-updown-5m-1783227300,1783227300000,1783227600000,795021526930,637503571679
btc-updown-5m-1783227600,1783227600000,1783227900000,110897799647,120912790053
btc-updown-5m-1783227900,1783227900000,1783228200000,114975527422,260253832838
btc-updown-5m-1783228200,1783228200000,1783228500000,501948657780,400691529711
btc-updown-5m-1783228500,1783228500000,1783228800000,972847394130,467568244500
btc-updown-5m-1783228800,1783228800000,1783229100000,909642657856,942088282983
btc-updown-5m-1783229100,1783229100000,1783229400000,771128923159,838585960272
btc-updown-5m-1783229400,1783229400000,1783229700000,422618512970,187810320827
btc-updown-5m-1783229700,1783229700000,1783230000000,936702142732,890207692641
btc-updown-5m-1783230000,1783230000000,1783230300000,697045444779,406606031652
btc-updown-5m-1783230300,1783230300000,1783230600000,442760447878,997849701172
btc-updown-5m-1783230600,1783230600000,1783230900000,707723668239,366313319541
btc-updown-5m-1783230900,1783230900000,1783231200000,317474798609,349943069462
btc-updown-5m-1783231200,1783231200000,1783231500000,771464531268,225774344708
btc-updown-5m-1783231500,1783231500000,1783231800000,837781415108,652812752703
btc-updown-5m-1783232100,1783232100000,1783232400000,662252740117,126439699643
btc-updown-5m-1783232400,1783232400000,1783232700000,901710870595,102635849792
btc-updown-5m-1783232700,1783232700000,1783233000000,606800633072,322573779228
btc-updown-5m-1783233000,1783233000000,1783233300000,808761577244,755651546535
btc-updown-5m-1783233300,1783233300000,1783233600000,465648775178,361205701118
btc-updown-5m-1783233600,1783233600000,1783233900000,951782305656,488684979318
btc-updown-5m-1783233900,1783233900000,1783234200000,226443144544,378526777238
btc-updown-5m-1783234200,1783234200000,1783234500000,114424002132,102187200431
btc-updown-5m-1783234500,1783234500000,1783234800000,884076968849,112073482587
btc-updown-5m-1783234800,1783234800000,1783235100000,113374525453,174046469043
btc-updown-5m-1783235100,1783235100000,1783235400000,219259431019,748160705521
btc-updown-5m-1783235400,1783235400000,1783235700000,884878880883,282942605654
btc-updown-5m-1783235700,1783235700000,1783236000000,495498500010,393537128307
btc-updown-5m-1783236000,1783236000000,1783236300000,111330720125,323352855995
btc-updown-5m-1783236300,1783236300000,1783236600000,473357811566,530221690534
btc-updown-5m-1783236600,1783236600000,1783236900000,779532653366,668802427039
btc-updown-5m-1783236900,1783236900000,1783237200000,139022387545,105097057358
btc-updown-5m-1783237200,1783237200000,1783237500000,165678564686,930391629076
btc-updown-5m-1783237500,1783237500000,1783237800000,373576976602,373394146487
btc-updown-5m-1783237800,1783237800000,1783238100000,979805863971,115029677189
btc-updown-5m-1783238100,1783238100000,1783238400000,298667989228,617018773653
btc-updown-5m-1783238400,1783238400000,1783238700000,285063956176,960401851287
btc-updown-5m-1783238700,1783238700000,1783239000000,389399176715,102731141914
btc-updown-5m-1783239000,1783239000000,1783239300000,101194819384,568489189175
btc-updown-5m-1783239300,1783239300000,1783239600000,247000124799,642238676467
btc-updown-5m-1783239600,1783239600000,1783239900000,516501323558,462763878983
btc-updown-5m-1783239900,1783239900000,1783240200000,969584937883,973839949361
btc-updown-5m-1783240200,1783240200000,1783240500000,961519502412,102331837275
btc-updown-5m-1783240500,1783240500000,1783240800000,663502172969,716240629407
btc-updown-5m-1783240800,1783240800000,1783241100000,424906865322,399260282933
btc-updown-5m-1783241100,1783241100000,1783241400000,100793631025,748235769896
btc-updown-5m-1783241400,1783241400000,1783241700000,105304554851,722222674052
btc-updown-5m-1783241700,1783241700000,1783242000000,247478941176,712305577479
btc-updown-5m-1783242000,1783242000000,1783242300000,431116141287,353525397843
btc-updown-5m-1783242300,1783242300000,1783242600000,388865707482,405701624333
