recv_ms,asset,bid,ask
1783188523359,100549640851,0.25,0.29
1783188523369,100549640851,0.26,0.29
1783188523369,140303448849,0.71,0.74
1783188523504,140303448849,0.69,0.74
1783188523504,100549640851,0.26,0.31
1783188523533,140303448849,0.68,0.74
1783188523533,100549640851,0.26,0.32
1783188523618,140303448849,0.67,0.74
1783188523618,100549640851,0.26,0.33
1783188523619,100549640851,0.25,0.33
1783188523619,140303448849,0.67,0.75
1783188523644,140303448849,0.69,0.75
1783188523644,100549640851,0.25,0.31
1783188523652,100549640851,0.25,0.33
1783188523652,140303448849,0.67,0.75
1783188523662,100549640851,0.27,0.33
1783188523662,140303448849,0.67,0.73
1783188523671,100549640851,0.25,0.33
1783188523671,140303448849,0.67,0.75
1783188523680,100549640851,0.27,0.33
1783188523680,140303448849,0.67,0.73
1783188523714,140303448849,0.72,0.73
1783188523714,100549640851,0.27,0.28
1783188523722,100549640851,0.25,0.28
1783188523722,140303448849,0.72,0.75
1783188523749,100549640851,0.25,0.27
1783188523749,140303448849,0.73,0.75
1783188523770,100549640851,0.26,0.27
1783188523770,140303448849,0.73,0.74
1783188524000,140303448849,0.73,0.74
1783188524000,100549640851,0.26,0.27
1783188524058,140303448849,0.71,0.74
1783188524058,100549640851,0.26,0.29
1783188524077,140303448849,0.7,0.74
1783188524077,100549640851,0.26,0.3
1783188524200,140303448849,0.69,0.74
1783188524200,100549640851,0.26,0.31
1783188524250,100549640851,0.27,0.31
1783188524250,140303448849,0.69,0.73
1783188524268,100549640851,0.28,0.31
1783188524268,140303448849,0.69,0.72
1783188524309,100549640851,0.29,0.31
1783188524309,140303448849,0.69,0.71
1783188524488,100549640851,0.3,0.31
1783188524488,140303448849,0.69,0.7
1783188525000,100549640851,0.3,0.31
1783188525000,140303448849,0.69,0.7
1783188525840,100549640851,0.3,0.32
1783188525840,140303448849,0.68,0.7
1783188525850,100549640851,0.31,0.32
1783188525850,140303448849,0.68,0.69
1783188526004,100549640851,0.31,0.32
1783188526004,140303448849,0.68,0.69
1783188527291,100549640851,0.31,0.32
1783188527291,140303448849,0.68,0.69
1783188527571,100549640851,0.33,0.34
1783188527571,140303448849,0.66,0.67
1783188527751,140303448849,0.65,0.67
1783188527751,100549640851,0.33,0.35
1783188527966,100549640851,0.33,0.36
1783188527966,140303448849,0.64,0.67
1783188528045,140303448849,0.64,0.67
1783188528045,100549640851,0.33,0.36
1783188528101,140303448849,0.65,0.67
1783188528101,100549640851,0.33,0.35
1783188528210,100549640851,0.33,0.34
1783188528210,140303448849,0.66,0.67
1783188528442,100549640851,0.32,0.34
1783188528442,140303448849,0.66,0.68
1783188528848,100549640851,0.33,0.34
1783188528848,140303448849,0.66,0.67
1783188528865,100549640851,0.32,0.34
1783188528865,140303448849,0.66,0.68
1783188528866,140303448849,0.67,0.68
1783188528866,100549640851,0.32,0.33
1783188528975,100549640851,0.31,0.33
1783188528975,140303448849,0.67,0.69
1783188529006,140303448849,0.67,0.69
1783188529006,100549640851,0.31,0.33
1783188529045,140303448849,0.69,0.7
1783188529045,100549640851,0.3,0.31
1783188529220,100549640851,0.29,0.31
1783188529220,140303448849,0.69,0.71
1783188529301,100549640851,0.3,0.31
1783188529301,140303448849,0.69,0.7
1783188529864,100549640851,0.28,0.31
1783188529864,140303448849,0.69,0.72
1783188530010,140303448849,0.69,0.72
1783188530010,100549640851,0.28,0.31
1783188530131,100549640851,0.3,0.31
1783188530131,140303448849,0.69,0.7
1783188530562,100549640851,0.27,0.31
1783188530562,140303448849,0.69,0.73
1783188530828,100549640851,0.3,0.31
1783188530828,140303448849,0.69,0.7
1783188531012,140303448849,0.69,0.7
1783188531012,100549640851,0.3,0.31
1783188532000,140303448849,0.69,0.7
1783188532000,100549640851,0.3,0.31
1783188532205,100549640851,0.28,0.31
1783188532205,140303448849,0.69,0.72
1783188532218,140303448849,0.7,0.72
1783188532218,100549640851,0.28,0.3
1783188532218,140303448849,0.71,0.72
1783188532218,100549640851,0.28,0.29
1783188533004,140303448849,0.71,0.72
1783188533004,100549640851,0.28,0.29
1783188534011,100549640851,0.28,0.29
1783188534011,140303448849,0.71,0.72
1783188534278,140303448849,0.7,0.72
1783188534278,100549640851,0.28,0.3
1783188534282,100549640851,0.29,0.3
1783188534282,140303448849,0.7,0.71
1783188534295,140303448849,0.69,0.71
1783188534295,100549640851,0.29,0.31
1783188534305,100549640851,0.3,0.31
1783188534305,140303448849,0.69,0.7
1783188535000,100549640851,0.3,0.31
1783188535000,140303448849,0.69,0.7
1783188535913,100549640851,0.29,0.31
1783188535913,140303448849,0.69,0.71
1783188535931,140303448849,0.7,0.71
1783188535931,100549640851,0.29,0.3
1783188536001,100549640851,0.29,0.3
1783188536001,140303448849,0.7,0.71
1783188536608,100549640851,0.29,0.31
1783188536608,140303448849,0.69,0.71
1783188536626,100549640851,0.3,0.31
1783188536626,140303448849,0.69,0.7
1783188536626,100549640851,0.29,0.31
1783188536626,140303448849,0.69,0.71
1783188536627,100549640851,0.3,0.31
1783188536627,140303448849,0.69,0.7
1783188536674,140303448849,0.66,0.7
1783188536674,100549640851,0.3,0.34
1783188536674,100549640851,0.31,0.34
1783188536674,140303448849,0.66,0.69
1783188536724,100549640851,0.32,0.34
1783188536724,140303448849,0.66,0.68
1783188536724,100549640851,0.33,0.34
1783188536724,140303448849,0.66,0.67
1783188536726,140303448849,0.65,0.67
1783188536726,100549640851,0.33,0.35
1783188536726,100549640851,0.34,0.35
1783188536726,140303448849,0.65,0.66
1783188536727,140303448849,0.64,0.66
1783188536727,100549640851,0.34,0.36
1783188536727,100549640851,0.35,0.36
1783188536727,140303448849,0.64,0.65
1783188537017,140303448849,0.64,0.65
1783188537017,100549640851,0.35,0.36
1783188537619,100549640851,0.34,0.36
1783188537619,140303448849,0.64,0.66
1783188537620,140303448849,0.65,0.66
1783188537620,100549640851,0.34,0.35
1783188538003,140303448849,0.65,0.66
1783188538003,100549640851,0.34,0.35
1783188539007,100549640851,0.34,0.35
1783188539007,140303448849,0.65,0.66
1783188539889,100549640851,0.31,0.35
1783188539889,140303448849,0.65,0.69
1783188539896,140303448849,0.66,0.69
1783188539896,100549640851,0.31,0.34
1783188539896,140303448849,0.68,0.69
1783188539896,100549640851,0.31,0.32
1783188540002,140303448849,0.68,0.69
1783188540002,100549640851,0.31,0.32
1783188540831,140303448849,0.49,0.69
1783188540831,100549640851,0.31,0.51
1783188541018,100549640851,0.31,0.32
1783188541018,140303448849,0.68,0.69
1783188541067,140303448849,0.69,0.7
1783188541067,100549640851,0.3,0.31
1783188541087,100549640851,0.28,0.31
1783188541087,140303448849,0.69,0.72
1783188541138,100549640851,0.27,0.31
1783188541138,140303448849,0.69,0.73
1783188541153,100549640851,0.26,0.31
1783188541153,140303448849,0.69,0.74
1783188541181,140303448849,0.71,0.74
1783188541181,100549640851,0.26,0.29
1783188541182,100549640851,0.26,0.31
1783188541182,140303448849,0.69,0.74
1783188541188,140303448849,0.71,0.74
1783188541188,100549640851,0.26,0.29
1783188541313,100549640851,0.21,0.29
1783188541313,140303448849,0.71,0.79
1783188541370,100549640851,0.26,0.29
1783188541370,140303448849,0.71,0.74
1783188541370,100549640851,0.21,0.29
1783188541370,140303448849,0.71,0.79
1783188541378,100549640851,0.2,0.29
1783188541378,140303448849,0.71,0.8
1783188541398,100549640851,0.25,0.29
1783188541398,140303448849,0.71,0.75
1783188541488,100549640851,0.26,0.29
1783188541488,140303448849,0.71,0.74
1783188541624,140303448849,0.71,0.73
1783188541624,100549640851,0.27,0.29
1783188541624,100549640851,0.28,0.29
1783188541624,140303448849,0.71,0.72
1783188541776,140303448849,0.69,0.72
1783188541776,100549640851,0.28,0.31
1783188541902,140303448849,0.71,0.72
1783188541902,100549640851,0.28,0.29
1783188541943,140303448849,0.69,0.72
1783188541943,100549640851,0.28,0.31
1783188541992,140303448849,0.7,0.72
1783188541992,100549640851,0.28,0.3
1783188542002,140303448849,0.7,0.72
1783188542002,100549640851,0.28,0.3
1783188542067,140303448849,0.69,0.72
1783188542067,100549640851,0.28,0.31
1783188542076,140303448849,0.65,0.72
1783188542076,100549640851,0.28,0.35
1783188542087,140303448849,0.7,0.72
1783188542087,100549640851,0.28,0.3
1783188542087,140303448849,0.6,0.72
1783188542087,100549640851,0.28,0.4
1783188542094,100549640851,0.3,0.4
1783188542094,140303448849,0.6,0.7
1783188542117,140303448849,0.61,0.7
1783188542117,100549640851,0.3,0.39
1783188542117,140303448849,0.68,0.7
1783188542117,100549640851,0.3,0.32
1783188542136,140303448849,0.69,0.7
1783188542136,100549640851,0.3,0.31
1783188542177,140303448849,0.65,0.7
1783188542177,100549640851,0.3,0.35
1783188542190,100549640851,0.32,0.35
1783188542190,140303448849,0.65,0.68
1783188542190,100549640851,0.33,0.35
1783188542190,140303448849,0.65,0.67
1783188542197,140303448849,0.66,0.67
1783188542197,100549640851,0.33,0.34
1783188542290,140303448849,0.6,0.67
1783188542290,100549640851,0.33,0.4
1783188542333,100549640851,0.33,0.34
1783188542333,140303448849,0.66,0.67
1783188542359,100549640851,0.33,0.51
1783188542359,140303448849,0.49,0.67
1783188542393,140303448849,0.66,0.67
1783188542393,100549640851,0.33,0.34
1783188542503,140303448849,0.49,0.67
1783188542503,100549640851,0.33,0.51
1783188542534,140303448849,0.47,0.67
1783188542534,100549640851,0.33,0.53
1783188542631,140303448849,0.46,0.67
1783188542631,100549640851,0.33,0.54
1783188542676,100549640851,0.33,0.34
1783188542676,140303448849,0.66,0.67
1783188542715,100549640851,0.33,0.42
1783188542715,140303448849,0.58,0.67
1783188542730,140303448849,0.6,0.67
1783188542730,100549640851,0.33,0.4
1783188542737,100549640851,0.33,0.34
1783188542737,140303448849,0.66,0.67
1783188542743,100549640851,0.33,0.4
1783188542743,140303448849,0.6,0.67
1783188542750,100549640851,0.34,0.4
1783188542750,140303448849,0.6,0.66
1783188542779,140303448849,0.62,0.66
1783188542779,100549640851,0.34,0.38
1783188542810,100549640851,0.35,0.38
1783188542810,140303448849,0.62,0.65
1783188542810,140303448849,0.6,0.65
1783188542810,100549640851,0.35,0.4
1783188542828,140303448849,0.59,0.65
1783188542828,100549640851,0.35,0.41
1783188542828,100549640851,0.36,0.41
1783188542828,140303448849,0.59,0.64
1783188542846,140303448849,0.6,0.64
1783188542846,100549640851,0.36,0.4
1783188542846,100549640851,0.36,0.39
1783188542846,140303448849,0.61,0.64
1783188542846,140303448849,0.63,0.64
1783188542846,100549640851,0.36,0.37
1783188543002,100549640851,0.36,0.37
1783188543002,140303448849,0.63,0.64
1783188543167,100549640851,0.36,0.41
1783188543167,140303448849,0.59,0.64
1783188543177,100549640851,0.37,0.41
1783188543177,140303448849,0.59,0.63
1783188543179,100549640851,0.38,0.41
1783188543179,140303448849,0.59,0.62
1783188543191,100549640851,0.39,0.41
1783188543191,140303448849,0.59,0.61
1783188543197,100549640851,0.4,0.41
1783188543197,140303448849,0.59,0.6
1783188543943,100549640851,0.4,0.42
1783188543943,140303448849,0.58,0.6
1783188543949,100549640851,0.41,0.42
1783188543949,140303448849,0.58,0.59
1783188544000,100549640851,0.41,0.42
1783188544000,140303448849,0.58,0.59
1783188544309,140303448849,0.57,0.59
1783188544309,100549640851,0.41,0.43
1783188544318,100549640851,0.42,0.43
1783188544318,140303448849,0.57,0.58
1783188545010,140303448849,0.57,0.58
1783188545010,100549640851,0.42,0.43
1783188545345,140303448849,0.51,0.58
1783188545345,100549640851,0.42,0.49
1783188545359,140303448849,0.47,0.58
1783188545359,100549640851,0.42,0.53
1783188545365,100549640851,0.43,0.53
1783188545365,140303448849,0.47,0.57
1783188545366,100549640851,0.45,0.53
1783188545366,140303448849,0.47,0.55
1783188545371,100549640851,0.46,0.53
1783188545371,140303448849,0.47,0.54
1783188545389,100549640851,0.49,0.53
1783188545389,140303448849,0.47,0.51
1783188545394,100549640851,0.5,0.53
1783188545394,140303448849,0.47,0.5
1783188545402,100549640851,0.51,0.53
1783188545402,140303448849,0.47,0.49
1783188545404,140303448849,0.48,0.49
1783188545404,100549640851,0.51,0.52
1783188545572,100549640851,0.5,0.52
1783188545572,140303448849,0.48,0.5
1783188545573,100549640851,0.49,0.52
1783188545573,140303448849,0.48,0.51
1783188545573,140303448849,0.49,0.51
1783188545573,100549640851,0.49,0.51
1783188545573,140303448849,0.5,0.51
1783188545573,100549640851,0.49,0.5
1783188545596,100549640851,0.48,0.5
1783188545596,140303448849,0.5,0.52
1783188545596,140303448849,0.51,0.52
1783188545596,100549640851,0.48,0.49
1783188546009,140303448849,0.51,0.52
1783188546009,100549640851,0.48,0.49
1783188546094,100549640851,0.47,0.49
1783188546094,140303448849,0.51,0.53
1783188546108,140303448849,0.52,0.53
1783188546108,100549640851,0.47,0.48
1783188546140,140303448849,0.51,0.53
1783188546140,100549640851,0.47,0.49
1783188546141,100549640851,0.48,0.49
1783188546141,140303448849,0.51,0.52
1783188546475,140303448849,0.49,0.52
1783188546475,100549640851,0.48,0.51
1783188546482,100549640851,0.49,0.51
1783188546482,140303448849,0.49,0.51
1783188546482,100549640851,0.5,0.51
1783188546482,140303448849,0.49,0.5
1783188547013,140303448849,0.49,0.5
1783188547013,100549640851,0.5,0.51
1783188547154,140303448849,0.47,0.5
1783188547154,100549640851,0.5,0.53
1783188547165,140303448849,0.49,0.5
1783188547165,100549640851,0.5,0.51
1783188547186,140303448849,0.45,0.5
1783188547186,100549640851,0.5,0.55
1783188547193,100549640851,0.51,0.55
1783188547193,140303448849,0.45,0.49
1783188547193,100549640851,0.52,0.55
1783188547193,140303448849,0.45,0.48
1783188547193,100549640851,0.53,0.55
1783188547193,140303448849,0.45,0.47
1783188547203,100549640851,0.54,0.55
1783188547203,140303448849,0.45,0.46
1783188547331,100549640851,0.53,0.55
1783188547331,140303448849,0.45,0.47
1783188547341,140303448849,0.46,0.47
1783188547341,100549640851,0.53,0.54
1783188547984,140303448849,0.45,0.47
1783188547984,100549640851,0.53,0.55
1783188547997,100549640851,0.54,0.55
1783188547997,140303448849,0.45,0.46
1783188548006,140303448849,0.45,0.46
1783188548006,100549640851,0.54,0.55
1783188548355,100549640851,0.53,0.55
1783188548355,140303448849,0.45,0.47
1783188548362,140303448849,0.46,0.47
1783188548362,100549640851,0.53,0.54
1783188548445,140303448849,0.44,0.47
1783188548445,100549640851,0.53,0.56
1783188548450,100549640851,0.54,0.56
1783188548450,140303448849,0.44,0.46
1783188548456,100549640851,0.55,0.56
1783188548456,140303448849,0.44,0.45
1783188548763,100549640851,0.56,0.57
1783188548763,140303448849,0.43,0.44
1783188548765,140303448849,0.32,0.44
1783188548765,100549640851,0.56,0.68
1783188548765,100549640851,0.57,0.68
1783188548765,140303448849,0.32,0.43
1783188548765,140303448849,0.31,0.43
1783188548765,100549640851,0.57,0.69
1783188548819,140303448849,0.32,0.43
1783188548819,100549640851,0.57,0.68
1783188548819,100549640851,0.66,0.68
1783188548819,140303448849,0.32,0.34
1783188548819,100549640851,0.59,0.68
1783188548819,140303448849,0.32,0.41
1783188548833,100549640851,0.57,0.68
1783188548833,140303448849,0.32,0.43
1783188548833,100549640851,0.67,0.68
1783188548833,140303448849,0.32,0.33
1783188548833,140303448849,0.3,0.33
1783188548833,100549640851,0.67,0.7
1783188548838,100549640851,0.57,0.7
1783188548838,140303448849,0.3,0.43
1783188548856,100549640851,0.59,0.7
1783188548856,140303448849,0.3,0.41
1783188548856,140303448849,0.32,0.41
1783188548856,100549640851,0.59,0.68
1783188548856,100549640851,0.6,0.68
1783188548856,140303448849,0.32,0.4
1783188548856,100549640851,0.66,0.68
1783188548856,140303448849,0.32,0.34
1783188548856,140303448849,0.33,0.34
1783188548856,100549640851,0.66,0.67
1783188548858,100549640851,0.64,0.67
1783188548858,140303448849,0.33,0.36
1783188548858,140303448849,0.33,0.34
1783188548858,100549640851,0.66,0.67
1783188548901,140303448849,0.3,0.34
1783188548901,100549640851,0.66,0.7
1783188548907,140303448849,0.31,0.34
1783188548907,100549640851,0.66,0.69
