ts_ms,price,recv_ms
1783188573000,63162.76522121039,1783188574873
1783188574000,63164.4640987417,1783188574976
1783188575000,63164.51380111441,1783188576109
1783188576000,63164.51583602814,1783188577015
1783188577000,63164.3968038356,1783188578140
1783188578000,63162.15564881699,1783188579337
1783188579000,63158.93185899577,1783188580455
1783188580000,63156.48354247828,1783188581200
1783188581000,63155.7015849981,1783188582277
1783188582000,63155.0945573461,1783188583392
1783188583000,63155.20244429862,1783188583965
1783188584000,63153.57765267956,1783188585362
1783188585000,63151.093305,1783188586390
1783188586000,63151.07671,1783188586989
1783188587000,63151.054955,1783188588379
1783188588000,63150.64466,1783188589504
1783188589000,63150.6408,1783188590011
1783188590000,63150.663295,1783188591056
1783188591000,63150.647105,1783188592149
1783188592000,63150.445715,1783188593378
1783188593000,63150.982423879985,1783188594204
1783188594000,63148.97312,1783188595295
1783188595000,63147.878990305006,1783188596473
1783188596000,63147.1375700894,1783188597131
1783188597000,63146.56556073231,1783188598375
1783188598000,63146.56796911646,1783188599000
1783188599000,63146.299133370725,1783188600062
1783188600000,63146.2931939774,1783188601244
1783188601000,63146.00500699748,1783188602489
1783188602000,63145.75081063229,1783188602913
1783188603000,63138.615640165546,1783188604040
1783188604000,63136.55096436023,1783188605187
1783188605000,63136.28062481955,1783188606426
1783188606000,63136.073449136515,1783188607278
1783188607000,63134.482,1783188608309
1783188608000,63134.46144319011,1783188609288
1783188609000,63134.46894319011,1783188610277
1783188610000,63134.47425774256,1783188611153
1783188611000,63134.47933386911,1783188612199
1783188612000,63134.48985627432,1783188613179
1783188613000,63134.84269335349,1783188614210
1783188614000,63135.21273853479,1783188615275
1783188615000,63135.214677780976,1783188616287
1783188616000,63135.18771927835,1783188617252
1783188617000,63135.18497838585,1783188618202
1783188618000,63135.06023704223,1783188619219
1783188619000,63135.170762660804,1783188620322
1783188620000,63135.89097948467,1783188622458
1783188622000,63137.46631029243,1783188623489
1783188623000,63138.443065,1783188624236
1783188624000,63138.957417584534,1783188625947
1783188625000,63139.63263358021,1783188626604
1783188626000,63150.72358,1783188627387
1783188627000,63150.45652,1783188628759
1783188628000,63150.88082,1783188629540
